id,first_call_time
00000fab,5/11/2019 8:23:54 PM
0000149d,12/24/2018 9:21:33 PM
00002b66,9/20/2018 9:08:24 PM
00002bc7,7/28/2019 11:27:56 AM
0000332e,2/21/2019 11:34:24 PM
00003af1,11/3/2017 4:44:59 AM
000048aa,8/2/2019 8:01:07 AM
0000497f,7/11/2019 3:39:47 AM
00004a41,3/9/2018 9:10:11 AM
000070ff,5/4/2019 5:29:53 PM
0000883c,3/12/2019 9:57:42 PM
00008cd6,10/14/2018 2:19:04 AM
00008e56,3/29/2018 6:20:19 AM
00009127,4/15/2018 3:11:15 AM
00009e18,4/6/2019 12:49:08 AM
0000a3c3,12/31/2018 9:11:16 PM
0000a7b0,5/17/2019 3:05:15 AM
0000c449,3/4/2018 7:18:32 AM
0000ccab,7/21/2019 10:37:49 AM
0000cf08,3/15/2019 1:37:32 AM
0000cf4e,6/7/2018 12:44:54 AM
0000d6df,10/21/2018 1:54:24 AM
0000da1f,8/29/2019 7:08:24 PM
0000e207,2/10/2019 8:55:28 AM
0000e5a3,1/14/2019 9:01:21 AM
00010e2d,9/15/2019 12:43:19 AM
00011c19,1/1/1970 12:00:00 AM
00012136,2/25/2019 4:53:22 AM
00017030,2/7/2019 9:51:00 PM
00018007,12/23/2018 6:51:32 PM
000180ec,4/29/2019 12:54:35 AM
00018c34,12/16/2017 5:00:29 PM
0001950a,8/24/2019 3:17:46 AM
00019c94,10/7/2017 9:30:45 PM
0001a2c5,2/18/2019 3:35:14 AM
0001b7fa,5/24/2019 5:42:58 AM
0001cc4c,4/12/2019 10:49:04 PM
0001df8e,12/13/2018 4:44:10 AM
0001ff48,1/2/2018 1:12:21 AM
00020361,8/18/2019 8:45:13 PM
00020f9d,2/3/2019 10:08:54 AM
00022244,7/21/2018 6:15:46 AM
0002242e,8/25/2019 8:03:16 PM
000225cd,1/19/2019 2:41:50 AM
0002515b,7/6/2018 9:15:34 PM
00025538,9/10/2018 12:38:51 AM
00025745,4/8/2018 9:22:47 AM
00025bbc,12/17/2018 2:23:51 AM
0002624f,3/18/2018 4:39:21 AM
000262ab,12/30/2018 6:01:54 AM
00029b80,8/24/2019 3:53:06 PM
0002a146,10/16/2017 8:01:15 AM
0002a914,6/24/2019 4:12:48 AM
0002b096,12/31/2018 8:15:37 AM
0002b4ec,12/25/2018 9:33:42 AM
0002b566,4/18/2019 10:43:53 AM
0002b8fb,6/7/2019 8:48:27 AM
0002c1d0,5/27/2019 11:41:27 PM
0002c90f,4/22/2019 5:32:30 AM
0002d447,9/22/2018 3:07:03 AM
0002d8ec,11/23/2018 11:59:17 PM
0002e199,10/16/2018 10:34:44 PM
000313ff,8/19/2017 1:52:48 AM
00031f9d,4/13/2019 8:30:42 AM
00032799,9/13/2019 9:35:14 AM
00033c92,3/20/2019 2:03:00 AM
00035350,5/20/2018 1:57:58 PM
00036f9c,4/12/2019 9:35:45 PM
0003ca4d,2/5/2019 8:00:47 PM
0003ed37,9/23/2018 11:52:33 PM
0004005c,1/1/2018 12:18:43 PM
00040430,10/19/2018 6:42:32 AM
00041d47,9/2/2018 6:44:23 PM
00042bac,2/2/2019 7:54:23 PM
00044a37,4/20/2019 7:51:40 PM
000451f0,12/12/2018 10:31:33 AM
000462e0,5/8/2019 4:40:00 AM
0004676b,2/6/2019 10:55:25 PM
00047632,10/17/2017 7:10:11 PM
000482ef,7/5/2019 10:49:45 PM
00049dc9,5/13/2019 8:54:24 AM
0004b37f,10/21/2017 5:25:42 AM
0004c619,8/19/2019 11:20:12 AM
0004d11f,7/9/2018 12:46:42 AM
0004d3c6,11/16/2018 5:03:16 AM
0004e5d6,3/4/2018 9:03:23 AM
0004eb38,9/22/2018 12:34:40 AM
000518c5,3/25/2019 3:03:51 AM
00051c3d,12/25/2017 6:31:50 PM
00051dcb,5/12/2018 2:26:14 AM
000523bb,9/10/2017 5:35:54 AM
00053015,8/11/2019 4:36:13 AM
000539c4,12/26/2018 11:40:10 PM
000540bb,1/19/2019 12:47:15 AM
00054186,1/1/1970 12:00:00 AM
0005441a,7/22/2018 12:36:43 AM
000553c9,12/1/2018 11:44:24 PM
00055852,10/13/2018 8:53:51 AM
0005697c,12/13/2018 1:10:44 AM
00058710,6/4/2019 8:26:49 AM
00058a66,10/23/2017 10:05:39 AM
00058db9,8/18/2019 11:34:48 PM
00059bf2,5/31/2019 4:40:29 AM
00059ea5,7/1/2019 6:40:41 AM
0005ce86,11/19/2018 10:40:03 PM
0005f202,4/10/2019 12:03:38 AM
00060074,2/13/2019 8:32:37 AM
000601e0,6/18/2019 8:31:54 PM
000614f3,5/8/2018 4:55:58 AM
000632fa,10/8/2018 5:34:26 AM
00064b05,7/30/2019 5:28:05 AM
00066761,9/23/2018 11:13:54 PM
00068055,3/23/2019 10:49:46 PM
0006a443,12/18/2018 8:06:06 PM
0006a606,2/17/2019 6:51:11 PM
0006afb0,12/16/2018 3:37:27 PM
0006b507,5/30/2019 4:09:39 AM
0006d37b,12/21/2018 3:11:43 AM
0006d4b5,4/17/2018 3:40:45 AM
0006ef30,8/18/2017 4:05:00 AM
00070f23,10/28/2017 3:03:12 PM
0007163f,10/11/2018 5:53:08 PM
0007268f,10/7/2018 8:23:07 AM
00072c61,7/17/2018 6:41:19 AM
00073b09,7/28/2018 7:36:53 PM
00073b44,3/8/2018 8:48:46 PM
00074de9,3/20/2019 1:45:48 AM
0007642a,2/11/2019 11:57:43 PM
000768e4,9/21/2019 5:56:46 AM
00076e94,9/22/2018 4:51:48 AM
000778cb,4/16/2019 1:33:23 AM
00077dbc,12/7/2018 11:05:50 PM
00078b15,8/9/2019 10:57:30 AM
00078dcf,8/24/2018 10:14:00 PM
00079323,5/7/2019 7:23:16 PM
00079da8,8/3/2019 12:56:33 AM
0007b0ce,5/17/2018 4:17:56 PM
0007c26c,1/19/2019 9:52:47 PM
0007cc99,4/3/2019 10:25:37 PM
0007d0c8,5/26/2018 7:33:38 AM
0007d503,12/31/9999 12:00:00 AM
0007e3d0,2/25/2019 12:17:06 AM
0007e578,12/22/2018 5:36:27 AM
00082784,11/7/2017 10:59:42 PM
0008301e,1/6/2019 5:43:24 AM
00083fbb,7/23/2019 1:53:57 AM
00084a9f,8/16/2019 3:33:17 AM
000850df,10/9/2018 5:50:06 AM
00086119,7/24/2018 10:23:07 PM
00086674,7/4/2019 4:01:48 AM
0008759d,8/10/2018 11:48:31 PM
00088265,9/14/2018 9:54:43 PM
0008835f,2/25/2018 6:28:10 AM
00088458,6/18/2018 4:44:47 AM
000895c5,4/28/2019 7:47:01 AM
0008a8df,1/4/2019 3:22:53 AM
0008ad9b,12/7/2017 5:28:53 PM
0008b0aa,9/18/2018 7:01:33 PM
0008d2bc,9/22/2017 12:03:56 AM
0008d7b7,6/14/2019 4:54:48 AM
0008da66,8/25/2018 2:58:51 AM
0008ed6d,12/8/2017 6:32:15 AM
000900d2,11/7/2018 8:46:31 AM
00091bf1,6/24/2018 10:01:38 AM
00092c1e,6/6/2019 12:24:07 AM
00092da7,5/27/2018 5:02:19 AM
00098003,10/20/2017 4:06:17 AM
00098494,12/1/2018 7:49:22 AM
0009b878,2/22/2018 2:33:55 AM
